,antecedents,consequents,support,confidence,lift
31,frozenset({'003d9bee-7088-42b9-a86f-8109480309b2'}),frozenset({'70ebd75a-3a57-4c4e-90b2-91fcb9457694'}),0.002369668246445498,0.14285714285714285,7.863354037267081
33,frozenset({'003d9bee-7088-42b9-a86f-8109480309b2'}),frozenset({'78ff3227-f20b-49e3-9d67-ea3e95e07236'}),0.002369668246445498,0.14285714285714285,5.834101382488479
34,frozenset({'003d9bee-7088-42b9-a86f-8109480309b2'}),frozenset({'8618cbd9-6c36-4c4d-9463-a4c9185ddaa8'}),0.002369668246445498,0.14285714285714285,7.535714285714285
35,frozenset({'8618cbd9-6c36-4c4d-9463-a4c9185ddaa8'}),frozenset({'003d9bee-7088-42b9-a86f-8109480309b2'}),0.002369668246445498,0.125,7.535714285714285
39,frozenset({'b229ab2a-d03d-4d62-b2f9-67b8e47e1c2a'}),frozenset({'003d9bee-7088-42b9-a86f-8109480309b2'}),0.001579778830963665,0.125,7.535714285714285
40,frozenset({'c62b88c1-eab7-457d-89b2-01f863965165'}),frozenset({'003d9bee-7088-42b9-a86f-8109480309b2'}),0.00315955766192733,0.19047619047619047,11.48299319727891
41,frozenset({'003d9bee-7088-42b9-a86f-8109480309b2'}),frozenset({'c62b88c1-eab7-457d-89b2-01f863965165'}),0.00315955766192733,0.19047619047619047,11.48299319727891
42,frozenset({'008585e6-94e3-4c54-a884-f972b965e688'}),frozenset({'02ee3668-86f1-4c55-a4fe-258cc6c26658'}),0.001579778830963665,0.11111111111111112,5.626666666666667
44,frozenset({'008585e6-94e3-4c54-a884-f972b965e688'}),frozenset({'0a6da092-0398-4b84-8491-d0210f8e6bd3'}),0.001579778830963665,0.11111111111111112,5.626666666666667
46,frozenset({'008585e6-94e3-4c54-a884-f972b965e688'}),frozenset({'2133b95e-e1f7-4293-88b7-90269648109e'}),0.001579778830963665,0.11111111111111112,7.814814814814816
47,frozenset({'2133b95e-e1f7-4293-88b7-90269648109e'}),frozenset({'008585e6-94e3-4c54-a884-f972b965e688'}),0.001579778830963665,0.11111111111111112,7.814814814814816
48,frozenset({'008585e6-94e3-4c54-a884-f972b965e688'}),frozenset({'44e73594-1dc0-48d0-bfdf-952ed22a8a00'}),0.001579778830963665,0.11111111111111112,7.814814814814816
49,frozenset({'44e73594-1dc0-48d0-bfdf-952ed22a8a00'}),frozenset({'008585e6-94e3-4c54-a884-f972b965e688'}),0.001579778830963665,0.11111111111111112,7.814814814814816
